107286580,"nuclear factor, erythroid 2 like 2"
107286581,"RAB2B, member RAS oncogene family"
107286582,uncharacterized LOC107286582
107286583,alkylglycerone phosphate synthase
107286584,tetratricopeptide repeat domain 30B
107286585,homeobox D13
107286586,homeobox D8
107286587,phosphodiesterase 11A
107286588,even-skipped homeobox 2
107286589,homeobox D11
107286957,aldehyde dehydrogenase 2 family (mitochondrial)
107287830,mitochondrial ribosomal protein L1
107288690,ring finger protein 123
107290940,exocyst complex component 8
107290941,disrupted in schizophrenia 1
107290942,"3-hydroxymethyl-3-methylglutaryl-CoA lyase, cytoplasmic-like"
107290943,bone morphogenetic protein 5
107290944,heparan sulfate-glucosamine 3-sulfotransferase 1
107290945,glutaminase 2
107290946,kinase non-catalytic C-lobe domain (KIND) containing 1
107290947,VENT homeobox
107290948,uncharacterized LOC107290948
107290949,protein kinase C eta
107291090,NADH-cytochrome b5 reductase 2-like
107291091,PPFIA binding protein 2
107291092,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C-like"
107291093,Ras association domain family member 10
107291094,aryl hydrocarbon receptor nuclear translocator like
107291095,ovochymase-2-like
107291097,protein ABHD14A-like
107291098,interferon-induced transmembrane protein 1-like
107291099,interferon-induced transmembrane protein 3-like
107293683,catenin beta 1
107294408,"proteasome 26S subunit, non-ATPase 13"
107294912,vomeronasal type-2 receptor 26-like
107294915,hypoxia inducible factor 1 alpha subunit
107295260,glioma tumor suppressor candidate region gene 2 protein-like
107295442,"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1"
107295732,uncharacterized protein K02A2.6-like
107297945,60S ribosomal protein L17
107298001,relaxin 3
107298002,dihydropyrimidinase-related protein 1-like
107298003,glucosamine-6-phosphate deaminase 2
107299762,patatin-like phospholipase domain-containing protein 7
107299765,fascin-like
107300179,cytosolic phospholipase A2 epsilon-like
107300501,bone morphogenetic protein 4-like
107300503,phosphatidylinositol 3-kinase catalytic subunit type 3-like
107300504,coiled-coil domain-containing protein 66-like
107300505,"trifunctional enzyme subunit alpha, mitochondrial-like"
107300507,"proline dehydrogenase 1, mitochondrial-like"
107300508,olfactory receptor 10S1-like
107300509,olfactory receptor 10G6-like
107302487,meckelin-like
107302901,phosphoprotein membrane anchor with glycosphingolipid microdomains 1
107302904,"fatty acid-binding protein, adipocyte-like"
107302905,inositol(myo)-1(or 4)-monophosphatase 1
107302906,zinc finger AN1-type containing 1
107302907,rho guanine nucleotide exchange factor 38-like
107302908,E2F transcription factor 2
107284980,zinc finger protein 648
107284981,immediate early response 5
107284982,"keratin, type II cytoskeletal-like"
107284983,actin related protein 2/3 complex subunit 5
107284984,neutrophil cytosolic factor 2
107284985,SMG7 nonsense mediated mRNA decay factor
107284986,laminin subunit gamma 2
107284987,laminin subunit gamma 1
107284988,N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
107284989,regulator of G-protein signaling 16
107287320,actin binding LIM protein 1
107287321,actin filament associated protein 1 like 2
107287322,adrenoceptor beta 1
107287323,NHL repeat-containing protein 2-like
107287324,coiled-coil domain containing 172
107287326,GDNF family receptor alpha 1
107287327,G protein-coupled receptor 61
107287328,von Willebrand factor A domain containing 2
107287329,tudor domain containing 1
107288691,E3 ubiquitin-protein ligase RNF123-like
107288692,E3 ubiquitin-protein ligase RNF123-like
107288947,mitochondrial fission regulator 1
107289340,SLIT and NTRK like family member 5
107289820,biorientation of chromosomes in cell division 1
107289821,"Beta-1,3-galactosyltransferase 2"
107289822,cell division cycle 73
107289829,TROVE domain family member 2
107290610,guanine nucleotide binding protein (G protein) alpha 12
107290611,interferon alpha and beta receptor subunit 2
107290612,MAD1 mitotic arrest deficient-like 1 (yeast)
107290613,transmembrane protein 184A
107290614,trinucleotide repeat containing 18
107290615,solute carrier family 29 member 4
107290616,monocyte to macrophage differentiation-associated 2
107290618,cytochrome P450 3A9-like
107290619,sidekick cell adhesion molecule 1
107292760,U2 snRNP-associated SURP domain containing
107292761,"spectrin repeat containing, nuclear envelope 1"
107292764,PHD and ring finger domains 1
107292765,serine/threonine-protein kinase pim-1-like
107292766,WD repeat domain 6
107292767,"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)"
107293490,histone H3
107293491,histone H4-like
107293494,neuronal acetylcholine receptor subunit alpha-2-like
107293496,POZ/BTB and AT hook containing zinc finger 1
107293497,phosphoinositide-3-kinase interacting protein 1
107293681,de-etiolated homolog 1 (Arabidopsis)
107293682,WD repeat-containing protein 7-like
107293689,kinesin family member 20B
107294085,40S ribosomal protein S7-like
107294911,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type"
107296471,transmembrane protein 8B
107296472,avidin-like
107296473,avidin-like
107296475,eukaryotic translation initiation factor 2 alpha kinase 4
107296478,zinc finger protein 232-like
107296479,ubiquitin specific peptidase 11
107299359,tetratricopeptide repeat protein 37-like
107299763,uncharacterized LOC107299763
107287060,apolipoprotein B mRNA editing enzyme catalytic polypeptide like 2
107287061,"inositol 1,4,5-trisphosphate receptor type 3"
107287062,inositol hexakisphosphate kinase 3
107287063,LEM domain containing 2
107287064,O-acyl-ADP-ribose deacylase 1
107287065,motilin
107287066,coiled-coil-helix-coiled-coil-helix domain containing 2
107287067,ETS variant 7
107287068,BCL2 antagonist/killer 1
107287069,ubiquinol-cytochrome-c reductase complex assembly factor 2
